id,FullName,University,JoinYear,Rank,Bachelor,Masters,Doctorate,PostDoc,Gender,PhotoUrl,Sources,,,,,,,,,,,,
869,Ramana Kompella,,2007,Associate,Indian Institute of Technology - Bombay - India,Stanford University - USA,University of California - San Diego - USA,,,,https://www.cs.purdue.edu/people/faculty/kompella/,,,,,,,,,,,,
1637,Hanna M. Wallach,,2007,Assistant,University of Cambridge - United Kingdom,University of Edinburgh - United Kingdom,University of Cambridge - United Kingdom,University of Massachusetts - Amherst - USA,Female,,https://www.cs.umass.edu/faculty/directory/wallach_hanna,,,,,,,,,,,,
14116,Phyllis Frankl,,2009,Full,Brandeis University - USA,Columbia University - USA,New York University - USA,,Female,http://engineering.nyu.edu/files/imagecache/profile_full/pictures/picture-310.jpg,http://engineering.nyu.edu/people/phyllis-frankl,,,,,,,,,,,,
1,Chitta Baral,Arizona State University,1999,Full,Indian Institute of Technology - Kanpur - India,University of Maryland - College Park - USA,University of Maryland - College Park - USA,,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/chittabaral.jpg,http://cidse.engineering.asu.edu/directory/chitta-baral/,,,,,,,,,,,,
2,Kasim Candan,Arizona State University,1997,Full,Bilkent University - Turkey,,University of Maryland - College Park - USA,,Male,,http://cidse.engineering.asu.edu/directory/candan-k-selcuk/,,,,,,,,,,,,
3,Charles Colbourn,Arizona State University,2001,Full, University of Toronto - Canada,University of Waterloo - Ontario - Canada, University of Toronto - Canada,,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/Colbourn_Charles_8438b1.jpg,http://cidse.engineering.asu.edu/directory/charles-colbourn/,,,,,,,,,,,,
4,James Collofello,Arizona State University,1979,Full,Northern Illinois University - USA,Northern Illinois University - USA,Northwestern University - USA,,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/jamescollofello.jpg,http://cidse.engineering.asu.edu/directory/collofello-james/,,,,,,,,,,,,
5,Sandeep Gupta ,Arizona State University,2001,Full,,,Ohio State University - USA,,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/sandeepgupta-featured.jpg,http://cidse.engineering.asu.edu/directory/gupta-sandeep/,,,,,,,,,,,,
6,Subbarao Kambhampati,Arizona State University,1991,Full,Indian Institute of Technology - Madras - India,University of Maryland - College Park - USA,University of Maryland - College Park - USA,,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/subbaraokambhampati.jpg,http://cidse.engineering.asu.edu/directory/subbarao-kambhampati/,,,,,,,,,,,,
7,Huan Liu ,Arizona State University,2000,Full,Shanghai Jiaotong University - China,University of Southern California - USA,University of Southern California - USA,,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/huanliu.jpg,http://cidse.engineering.asu.edu/directory/huan-liu/,,,,,,,,,,,,
8,Arunabha Sen ,Arizona State University,1987,Full,,,University of South Carolina - USA,,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/Sen-Arun.jpg,http://cidse.engineering.asu.edu/directory/sen-arunabha/,,,,,,,,,,,,
